CodigoDaComposicao;IDdoComponente;DescricaoDoComponente;CodigoDoComponente;QuantidadeDoComponente;CustoUnitario;Operacao
Par-5608;15909959836;Bieleta Traseira Tucson Sportage;5608;2;19,87;A
Par-5921;16026597640;BIELETA TRAS. AIRTREK 03/08;5921;2;19,87;A
PAR-5126;16026597493;BIELETA TRASEIRA AMBOS OS LADOS JOURNEY 2012 A 2019;5126;2;22,36;A
PAR-5312;16026597522;BIELETA TRASEIRA AMBOS LADOS AUDI A3 2007 A 2013;5312;2;19,87;A
PAR5623;16029648883;BIELETA TRASEIRA AMBOS LADOS AZERA 2007 A 2009;5623;2;18,63;A
PAR5615;16029484995;BIELETA TRASEIRA AMBOS LADOS AZERA 2011 A 2015;5615;2;27,32;A
PAR-5236;15924160692;Bieleta Traseira Barra Estabilizadora Blazer 1996 Até 2011;5236;2;19,95;A
PAR-5214;16026597510;BIELETA TRASEIRA AMBOS LADOS CAPTIVA 2008 EM DIANTE;5214;2;19,87;A
PAR-8106;16002342707;Bieleta Traseira Ambos Lados Chery Cielo 2008 A 2013;8106;2;17;A
PAR-5406/07;16026597531;BIELETA TRASEIRA DIREITA CIVIC 2001 A 2005;5406;1;18,63;A
PAR-5406/07;16026597532;BIELETA TRASEIRA ESQUERDA CIVIC 2001 A 2005;5407;1;18,63;A
PAR-5412/13;16026597540;BIELETA TRASEIRA ESQUERDA CIVIC 2006 A 2011;5412;1;18,63;A
PAR-5412/13;16026597543;BIELETA TRASEIRA DIREITA CIVIC 2006 A 2011;5413;1;18,63;A
PAR-5107;16026597491;BIELETA TRASEIRA AMBOS LADOS DOBLO TODAS EXCETO CARGO;5107;2;18,63;A
PAR-5015;16026597461;BIELETA TRASEIRA AMBOS OS LADOS ECOSPORT 4X4 2004 EM DIANTE;5015;2;18,63;A
PAR5018;16019313226;BIELETA TRASEIRA FOCUS 2008 A 2013 2°GERAÇÃO HATCH SEDAN;5018;2;14,64;A
Par-6209;16026597669;BIELETA TRAS. FRONTIER 17/....;6209;2;24,15;A
PAR-8003;16026597695;BIELETA TRAS FREELANDER 2 07/16;8003;2;32,29;A
PAR-5022;16026597463;BIELETA TRASEIRA AMBOS OS LADOS FUSION 2006 A 2009;5022;2;21,74;A
PAR-5041;16026597488;BIELETA TRASEIRA AMBOS OS LADOS FUSION 2013 A 2020;5041;2;18,4;A
PAR-5510;16026597589;BIELETA TRASEIRA AMBOS LADOS HILUX SW4 MOTOR 2.8;5510;2;22,36;A
PAR-5509;16026597587;BIELETA TRASEIRA AMBOS LADOS HILUX SW4 MOTOR 3.0;5509;2;22,36;A
6509/6510;16030873939;BIELETA TRASEIRA DIREITA MERCEDES C180 2008 A 2014;6509;1;47,2;A
6509/6510;16030914987;BIELETA TRASEIRA ESQUERDA MERCEDES C180 2008 A 2014;6510;1;47,2;A
PAR8502;16031026136;BIELETA TRASEIRA AMBOS LADOS MINI COOPER HATCH 2001 DIANTE;8502;2;30,43;A
PAR-8001;15998665003;Bieleta Traseira Land Rover Freelander 2 2008 A 2014;8001;2;26,85;A
PAR-7800;15912538466;Bieleta Traseira Renegade 4x4 2015 Em Diante Ld Ou Le;7800;2;22,36;A
par112005;15963482745;Bracinho Oscilante Com Pivô Uno Mille 1991 A 2011 SEM BUCHA;112005;2;0;A
par112004b;15969428279;Bracinho Oscilante Com Pivô E Buchas Fiat Oggi;112004b;2;0;A
Par112005B;15963482745;Bracinho Oscilante Com Pivô Uno Mille 1991 A 2011 SEM BUCHA;112005;2;0;A
par112004;15969449756;Bracinho Oscilante Com Pivô Sem Bucha Fiat Panorama;112004;2;0;A
par112004;16094872950;Bucha do Braço Tensor UNO- Não exportar;FTK44004-AMW;4;0;A
PAR993001;16041894676;BRAÇO BANDEJA AMBOS LADOS COM PIVÔ CHERY QQ 1.1 2011 A 2018;993001;2;0;A
Par-222109/10;16237884795;Braço Curvo Direito C/ Pivô FUSION 2007 até 2012;222109;1;0;A
Par-222109/10;16237885084;Braço Curvo Esquerdo C/ Pivô FUSION 2007 até 2012;222110;1;0;A
PAR-222111;16319351206;BRAÇO CURVO TRASEIRO BUMERANGUE FUSION 2006 A 2012;222111;2;0;A
PAR-5625;16086628594;BRAÇO DA SUSPENSÃO TRASEIRA I30 2009 A 2012;5625;2;22,36;A
par222010/11b;15969498535;Braço Oscilante Direito Sem Bucha Verona 1990 A 1992;222010;1;0;A
par222010/11b;15969508035;Braço Oscilante Esquerdo Sem Bucha Escort 1983 A 1996;222011;1;0;A
par222010/11b;16094887488;Bucha do Braço Tensor UNO- Não exportar;FTK33005-AMW;4;0;A
par222010/11;15969498535;Braço Oscilante Direito Sem Bucha Verona 1990 A 1992;222010;1;0;A
par222010/11;15969508035;Braço Oscilante Esquerdo Sem Bucha Escort 1983 A 1996;222011;1;0;A
332014/15;15965339328;Bandeja Balança Lado  Direito Corsa Classic Sem Pivô 98 A 2016;332014;1;0;A
332014/15;15965339405;Bandeja Balança Esquerdo Montana Sem Pivô 2010 A 2015;332015;1;0;A
112006/07;15992361478;Braço Tensor Direito Com Terminal Elba 1985 A 2004;112006;1;0;A
112006/07;15992387696;Braço Tensor Esquerdo Com Terminal Elba 1985 A 2004;112007;1;0;A
112006/07;15833618379;Terminal Cabo Trambulador Seleção 10mm Strada 2014 Em Diante;T1006;2;0;A
112008/09;15994960916;Braço Tensor Direita Sem Terminal Uno Mille 2004 A 2013;112008;1;0;A
112008/09;15994987869;Braço Tensor Esquerda Sem Terminal Uno Fase I 2004 A 2013;112009;1;0;A
PAR-2278AÇO;16335826555;BUCHA AÇO EIXO TRASEIRO ELIMINA FOLGA 47MM PEUGEOT 206;2278aço;2;15,5;A
PAR-2280AÇO;16335862949;BUCHA AÇO EIXO TRASEIRO ELIMINA FOLGA 50MM PEUGEOT 206;2280AÇO;2;15,5;A
PARFTK7739/40-MB;16032599440;BUCHA CENTRAL DA BANDEJA DIANTEIRA COROLLA 1992 A 2002;FTK7740-MB;1;0;A
PARFTK7739/40-MB;16032590026;BUCHA TRASEIRA DA BANDEJA DIANTEIRA COROLLA 1997 A 2002;FTK7739-MB;1;0;A
PARFTK22286-GP;16035527968;BUCHA DA BANDEJA SUPERIOR DIANTEIRA RANGER 2012 EM DIANTE;FTK22286-GP;2;0;A
PARFTK11203A/04-MB;16034855117;REFIL BUCHA DIANTEIRA DA BANDEJA DIANTEIRA MERIVA 2002 A 12;FTK11203A-MB;1;0;A
PARFTK11203A/04-MB;16034919118;BUCHA TRASEIRA DA BANDEJA DIANTEIRA MERIVA 2002 A 2013;FTK11204-MB;1;0;A
PARFTK33028-MB;16034296596;BUCHA CENTRAL DA BANDEJA INFERIOR AMAROK 2010 EM DIANTE;FTK33028-MB;2;0;A
PARFTK88001/02-AMW;16043885829;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA 206 1998 A 2010;FTK88001-AMW;1;0;A
PARFTK88001/02-AMW;16040617835;BUCHA TRASEIRA DA BANDEJA DIANTEIRA 206 1998 A 2010;FTK88002-AMW;1;0;A
PARFTK66000/01MB;16031590075;BUCHA TRASEIRA DA BANDEJA SUSPENSÃO DIANTEIRA CITY 2010 A 14;FTK66001-MB;1;0;A
PARFTK66000/01MB;16031691216;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA CITY 2010 A 14;FTK66000-MB;1;0;A
PARFTK99134/66075-MB;16044071242;BUCHA TRASEIRA DA BANDEJA DIANTEIRA CIVIC 2007 A 2016;FTK99134-MB;1;0;A
PARFTK99134/66075-MB;16044090788;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA CIVIC 2012 A 2016;FTK66075-MB;1;0;A
PARFTK7741/42-MB;16032672340;BUCHA TRASEIRA DA BANDEJA DIANTEIRA COROLLA 2003 EM DIANTE;FTK7741-MB;1;0;A
PARFTK7741/42-MB;16032694154;BUCHA CENTRAL DA BANDEJA DIANTEIRA COROLLA 2003 EM DIANTE;FTK7742-MB;1;0;A
PARFTK22208/2263-MB;16036589027;BUCHA TRASEIRA DA BANDEJA DIANTEIRA COURIER 1996 A 2013;FTK22208-MB;1;0;A
PARFTK22208/2263-MB;16036611650;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA COURIER 1997 A 2002;FTK2263-MB;1;0;A
PARFTK66029/39-MB;16038173043;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA CRV 2007 A 2012;FTK66029-MB;1;0;A
PARFTK66029/39-MB;16038149460;BUCHA TRASEIRA DA BANDEJA DIANTEIRA CRV 2007 A 2012;FTK66039-MB;1;0;A
PARFTK99355-MB;16046637654;BUCHA DA BANDEJA SUSPENSÃO DIANTEIRA DUSTER 2012 EM DIANTE;FTK99355-MB;2;0;A
PARFTK22222/20-MB;16044135241;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA ECOSPORT 2003 A 2012;FTK22222-MB;1;0;A
PARFTK22222/20-MB;16044480471;BUCHA TRASEIRA DA BANDEJA DIANTEIRA ECOSPORT 2003 A 2012;FTK22220-MB;1;0;A
PARFTK99128/29-MB;16033235947;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA FLUENCE 2010 EM DIANTE;FTK99128-MB;1;0;A
PARFTK99128/29-MB;16033240605;BUCHA TRASEIRA DA BANDEJA DIANTEIRA FLUENCE 2010 EM DIANTE;FTK99129-MB;1;0;A
PARFTK11004/06-AMW;16040672562;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA GOL G5 2008 EM DIANTE;FTK11004-AMW;1;0;A
PARFTK11004/06-AMW;16040721967;BUCHA TRASEIRA DA BANDEJA DIANTEIRA GOL G5 2008 EM DIANTE;FTK11006-AMW;1;0;A
PARFTK99370/71-MB;16035467894;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA KWID 2017 EM DIANTE;FTK99370-MB;1;0;A
PARFTK99370/71-MB;16035472263;BUCHA TRASEIRA DA BANDEJA DIANTEIRA KWID 2017 EM DIANTE;FTK99371-MB;1;0;A
PARFTK11019-MB;16037364240;BUCHA DA BANDEJA SUPERIOR DIANTEIRA L200 SPORT 2003 DIANTE;FTK11019-MB;2;0;A
PARFTK11001/11018-MB;16035675312;BUCHA TRASEIRA DA BANDEJA DIANTEIRA L200 4X4 1995 A 2006;FTK11001-MB;1;0;A
PARFTK11001/11018-MB;16038015622;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA L200 SPORT 2003 DIANTE;FTK11018-MB;1;0;A
PARFTK4476/44406-MB;16033296921;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA LINEA 2008 A 2017;FTK4476-MB;1;0;A
PARFTK4476/44406-MB;16033347110;BUCHA TRASEIRA DA BANDEJA DIANTEIRA LINEA 2008 A 2017;FTK44406-MB;1;0;A
PARFTK77014/15-MB;16036669995;BUCHA TRASEIRA DA BANDEJA DIANTEIRA LIVINA 2010 A 2014;FTK77014-MB;1;0;A
PARFTK77014/15-MB;16036711526;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA LIVINA 2010 A 2015;FTK77015-MB;1;0;A
PARFTK99103/04-MB;16035575798;BUCHA TRASEIRA DA BANDEJA DIANTEIRA MEGANE 2007 EM DIANTE;FTK99103-MB;1;0;A
PARFTK99103/04-MB;16035597576;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA MEGANE 2007 EM DIANTE;FTK99104-MB;1;0;A
PARFTK11170/71-MB;16044723188;BUCHA TRASEIRA DA BANDEJA DIANTEIRA OMEGA SUPREMA 93 A 98;FTK11170-MB;1;0;A
PARFTK11170/71-MB;16044673724;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA OMEGA SUPREMA 93 A 98;FTK11171-MB;1;0;A
PARFTK11224/25-MB;16033599798;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA ONIX 2013 EM DIANTE;FTK11224-MB;1;0;A
PARFTK11224/25-MB;16034078057;BUCHA TRASEIRA DA BANDEJA DIANTEIRA ONIX 2013 EM DIANTE;FTK11225-MB;1;0;A
PARFTK99325-MB;16034178823;BUCHA DA BANDEJA SUSPENSÃO DIANTEIRA SANDERO 2007 EM DIANTE;FTK99325-MB;2;0;A
PARFTK4476/77-MB;16033296921;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA LINEA 2008 A 2017;FTK4476-MB;1;0;A
PARFTK4476/77-MB;16033305112;BUCHA TRASEIRA DA BANDEJA DIANTEIRA STILO 2002 A 2010;FTK4477-MB;1;0;A
PARFTK99282/83-MB;16044600018;BUCHA TRASEIRA DA BANDEJA DIANTEIRA AZERA 2008 A 2012;FTK99282-MB;1;0;A
PARFTK99282/83-MB;16044566400;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA TUCSON 2005 EM DIANTE;FTK99283-MB;1;0;A
PARFTK33029-MB;16034199052;BUCHA DA BANDEJA SUPERIOR DIANTEIRA AMAROK 2010 EM DIANTE;FTK33029-MB;2;0;A
PARFTK11140-MB;16032775724;BUCHA DA BANDEJA SUPERIOR SUSPENSÃO DIANTEIRA BLAZER 96 A 11;FTK11140-MB;2;0;A
PARFTK99171-MB;16037185574;BUCHA DA BANDEJA SUPERIOR DIANTEIRA CIVIC 1992 A 1995;FTK99171-MB;2;0;A
PARFTK99140-MB;16037333703;BUCHA DA BANDEJA SUPERIOR DIANTEIRA CIVIC 1996 A 2000;FTK99140-MB;2;0;A
PARFTK1191-MB;16042695410;BUCHA DA BANDEJA SUSPENSÃO DIANTEIRA A10 C10 D10 1982 A 1996;FTK1191-MB;2;0;A
PARFTK77503-AMW;16038770203;BUCHA DA BANDEJA SUSPENSÃO DIANTEIRA CLIO 1998 EM DIANTE NÃO EXPORTAR;FTK77503-AMW;2;0;A
PARFTK99166-MB;16043964058;BUCHA DA BANDEJA SUSPENSÃO DIANTEIRA MEGANE 1995 EM DIANTE;FTK99166-MB;2;0;A
PARFTK44005-AMW;16038766982;BUCHA DA BANDEJA SUSPENSÃO TRASEIRA UNO MILLE 1991 A 2013 NÃO EXPORTAR;FTK44005-AMW;2;0;A
PARFTK99083-MB;16044156619;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA MONDEO 1993 A 2001;FTK99083-MB;2;0;A
PARFTK77001-AMW;16039560834;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA PICASSO 2001 A 2012 NÃO EXPORTAR;FTK77001-AMW;2;0;A
PARFTK33006-AMW;16038789581;BUCHA DO BRAÇO SUPERIOR SUSPENSÃO DIANTEIRA EXPLORER 1996 1997 NÃO EXPORTAR;FTK33006-AMW;2;0;A
PARFTK44002/06-AMW;16039375807;BUCHA AMBOS LADOS BANDEJA DIANTEIRA MAREA 1998 EM DIANTE;FTK44002-AMW;1;0;A
PARFTK44002/06-AMW;16039383465;BUCHA DIREITA TRASEIRA BANDEJA DIANTEIRA MAREA 98 EM DIANTE;FTK44006-AMW;1;0;A
PARFTK44002/03-AMW;16039375807;BUCHA AMBOS LADOS BANDEJA DIANTEIRA MAREA 1998 EM DIANTE;FTK44002-AMW;1;0;A
PARFTK44002/03-AMW;16039380325;BUCHA ESQUERDA TRASEIRA BANDEJA DIANTEIRA MAREA 98 EM DIANTE;FTK44003-AMW;1;0;A
PARFTK11001-MB;16035675312;BUCHA TRASEIRA DA BANDEJA DIANTEIRA L200 4X4 1995 A 2006;FTK11001-MB;2;0;A
PARFTK99082-MB;16043927926;BUCHA TRASEIRA DA BANDEJA DIANTEIRA MONDEO 1996 A 2001;FTK99082-MB;2;0;A
55323/111288;16025247839;Cabo De Capô Sem Alavanca Amarok 2010 Em Diante;111288;1;25,98;A
55323/111288;16025184806;Cabo de Capô Sem Alavanca Amarok 2010 Em Diante;55323;1;8,88;A
PAR-331050/51;16293612938;CABO DE FREIO DE MÃO TRASEIRO ESQUERDO FRONTIER 2003 A 2007;331050;1;0;A
PAR-331050/51;16293613156;CABO DE FREIO DE MÃO TRASEIRO DIREITO FRONTIER 2003 A 2007;331051;1;0;A
PAR-55120;15944263474;Cabo De Freio Fusca 1.300 Todos Até 1981;55120;2;0;A
par-55123;15944974212;Cabo Freio Fusca Brasília 1300 1500 1600 De 1981 Em Diante;55123;2;16,35;A
77261-2;15949656028;Cabo De Freio Traseira Lado Direito Celta 2001 Em Diante;77261;1;0;A
77261-2;15949781183;Cabo Freio Tras Esquerdo Celta 2001 Em Diante Com Conector;77262;1;39,2;A
66300/1;16026030243;Cabo De Freio Traseiro esquerdo Palio City Ex El Elx 96 a 00;66300;1;24,29;A
66300/1;16025966210;Cabo De Freio Traseiro Direito Palio City Ex El Elx 96 a 00;66301;1;24,67;A
PAR-55311;15942346585;Cabo Limitador Da Tampa Traseira Saveiro G2 G3 G4;55311;2;7,05;A
PAR-33820;15949596054;Cabo Limitador Tampa Traseira Nova Strada Iv 2013  Em Diante;33820;2;13,05;A
PAR-55351;16008824328;Cabo Limitador Da Tampa Traseira Saveiro G5 2009 Em Diante;55351;2;0;A
par-66516;15949053279;Cabo Limitador Da Tampa Traseira Strada Fase 3 2008 A 2012;66516;1;13,99;A
PAR-FTK321K;16004844422;Coifa Semi Eixo Câmbio Ambos Lados Tipo 1.6 Todos Os Anos;FTK3321K;2;7;A
PAR-FTK233/34;16389276343;COIFA HOMOCINETICA LADO CÂMBIO AGILE LS LT LTZ;FTK233;1;0;A
PAR-FTK233/34;16389276421;COIFA HOMOCINETICA LADO RODA CELTA 2001 EM DIANTE;FTK234;1;0;A
Par-FTK717/28;16237853021;Coifa Homocinética Câmbio LE logan 2007/...;FTK717;1;0;A
Par-FTK717/28;16237856907;Coifa Homocinética Câmbio LD LOGAN 2007/...;FTK728;1;0;A
PAR-FTK435;16389460968;COIFA HOMOCINETICA LADO CÂMBIO ROYALE 1992 A 1995;FTK435;2;0;A
PAR-FTK3320K;16007614892;Coifa Homocinética Lado Câmbio Premio 1994 A 1996;FTK3320K;2;6,7;A
PAR-FTK902;16389009217;COIFA HOMOCINETICA LADO RODA CITY 1.5 2009 EM DIANTE;FTK902;2;0;A
PAR-FTK314;16274483518;COIFA HOMOCINETICA LADO RODA FIAT 147 1976 A 1986;FTK314;2;0;A
PAR-FTK3322K;16006976418;Coifa Semi Eixo Lado Roda Strada 1996 A 2012;FTK3322K;2;0;A
PAR-FTK454;16240471852;Coifa Homocinética Lado Roda GOLF 1999 Em Diante;FTK454;2;0;A
PAR-FTK411;16389278685;COIFA HOMOCINETICA LADO RODA ROYALE 1.8 2.0 1992;FTK411;2;0;A
PAR-FTK278/81;16389415096;COIFA HOMOCINETICA LADO RODA ONIX 2013 EM DIANTE;FTK281;1;0;A
PAR-FTK278/81;16389415053;COIFA HOMOCINETICA LADO CAMBIO ONIX 1.0 2013 A 2019;FTK278;1;0;A
PAR-FTK3321K;16004844422;Coifa Semi Eixo Câmbio Ambos Lados Tipo 1.6 Todos Os Anos;FTK3321K;2;7;A
PAR-FTK313;16240469644;Coxim do Amortecedor Dianteiro GOL Quadrado 1980 Até 1996;FTK313;2;0;A
Par-332149/50;16237864245;BANDEJA SUPERIOR DIREITA S/ PIVÔ A10 1993 ATÉ 1996;332149;1;0;A
Par-332149/50;16237864659;BANDEJA SUPERIOR ESQUERDA S/ PIVÔ A10 1993 ATÉ 1996;332150;1;0;A
PAR-442050;15959154375;Bandeja Dianteira Ambos Lados Parati 1993 A 2008;442050;2;0;A
Par-5113;15833627935;Bieleta Dianteira Fiat Mobi 2017 Em Diante 51868333;5113;2;17,57;A
Par-222108;16079903393;Braço da Suspensão Inferior Fusion 2006 a 2012;222108;2;0;A
2279;15849433375;Bucha Eixo Traseiro Elimina Folga 47mm Peugeot 206;2278;2;15,5;A
TPN001;15907322980;Calotas Graxa Rolamento Manga Eixo Tras Peugeot 206;CL001;2;0;A
Par-23079;16027210329;Pino Da Dobradiça da Porta Blazer e S10;23079;2;8,69;A
Par-23100;16024148485;Pino da Pinça de Freio Chevrolet S10 e BLAZER 4x4;23100;2;16,28;A
PAR-FTK11049/50;16240370295;Pivô Inferior Esquerdo Doblo Adventure;FTK11049;1;0;A
PAR-FTK11049/50;16240370582;Pivô Inferior Direito Doblo Adventure;FTK11050;1;0;A
Par-FTK18583;16237929993;Rolamento Roda Dianteira CIVIC 1.5 1.6 16v Até 1995;FTK18583;2;0;A
Par-NZT563644;16237920618;Rolamento Roda Dianteira COBALT 1.4 2011 Em Diante;NZT563644;2;0;A
PAR-5035;16274321909;EIXO DA BANDEJA BELINA 1985 EM DIANTE;5035;2;0;A
PAR-5034;16237916720;EIXO DA BANDEJA CORCEL BELINA DEY PAMPA 1985 Em diante;5034;2;0;A
PAR-LT5577;16237894798;HASTE DO TRAMBULADOR 230mm VW GOLF 1998 ATÉ 2001 AUDI A4 MOTOR 1.6;LT5577;2;0;A
Par-23129;16024017752;Kit Pino da Pinça de Freio Chevrolet S10 2012 Em Diante;23129;2;20,24;A
Par-29037;16019716752;Kit Pino da Pinça de Freio Hyundai HR 2005 a 2018;29037;2;20,24;A
PAR-13120;15921672234;Kit Pino Deslizante Pinça De Freio Corsa 2003 Em Diante;13120;2;20;A
Par-14104;15823878133;Kit Pino Guia Bucha Pinça Ford Versailles Royale Ecosport0;14104;2;16;A
Par-26056;16008093840;Kit Pino Guia Pinça Freio Pajero TR4 2003 Em Diante;26056;2;20,24;A
Par-23125;16026051631;Kit Pino Guia Pinça Freio Ranger 4x2 1997 a 2012;23125;2;20,02;A
PAR-29014;16065325598;KIT PINO GUIA PINÇA FREIO MEGANE 1997 A 2004;29014;2;0;A
Par-GM001;15823841530;Kit Rolamento Roda Traseira Gol Saveiro  PARATI G1 a G5 Fox;VW001;2;13,22;A
332042/43;15990780619;Morceguinho Lado Direito Corsa 1994 A 1998;332042;1;0;A
332042/43;15990785082;Morceguinho Lado Esquerdo Corsa 1994 A 1998;332043;1;0;A
332056/57;15966193860;Morceguinho Dianteira Direita Agile 2010 A 2014;332056;1;0;A
332056/57;15966194428;Morceguinho Dianteiro Esquerdo Agile 2010 A 2014;332057;1;0;A
Par332052/53;15954796549;Morceguinho Dianteiro Corsa Lado Direito 1998 A 2003;332052;1;0;A
Par332052/53;15953324853;Morceguinho Dianteiro Celta Lado Esquerdo 1998 A 2015;332053;1;17,5;A
Par-14098;16114809111;Pino Porta Batente Palio / Strada / Siena;14098;2;8,3;A
PAR-FTK00311;16008825466;Pivô Bandeja Cobalt 2011 Em Diante;FTK00311;2;0;A
PARFTK00311;16008825466;Pivô Bandeja Cobalt 2011 Em Diante;FTK00311;2;0;A
PAR-FTK00606;15997753138;Pivô Bandeja Dianteira Ambos Os Lados Fluence 2011 Em Diante;FTK00606;2;0;A
PARFTK00606;15997753138;Pivô Bandeja Dianteira Ambos Os Lados Fluence 2011 Em Diante;FTK00606;2;0;A
PAR-PVI2404;15999951050;Pivô Bandeja Dianteira Ambos Os Lados Compass 2015 A 2020;FTK22404;2;0;A
PARPVI1055;15999155026;Pivô Bandeja Dianteira Ambos Os Lados Punto 2008 A 2017;FTK11055;2;0;A
PARFTK11055;15999155026;Pivô Bandeja Dianteira Ambos Os Lados Punto 2008 A 2017;FTK11055;2;0;A
PARFTK11042/43;16001274071;Pivô Bandeja Dianteira Direita Spacefox 2006 A 2010;FTK11042;1;0;A
PARFTK11042/43;16001278981;Pivô Bandeja Dianteira Esquerda Fox 2003 A 2014;FTK11043;1;0;A
PARFTK-22404;15999951050;Pivô Bandeja Dianteira Ambos Os Lados Compass 2015 A 2020;FTK22404;2;0;A
PARFTK11021;15995571954;Pivô Inferior Bandeja Dianteira Fiesta Street 2001 À 2007;FTK11021;2;0;A
PARFTK11030;15995162354;Pivô Da Bandeja Inferior Ambos Os Lados Kadett 1989 À 1998;FTK11030;2;0;A
PAR-FTK11003;15995721073;Pivô Da Bandeja Inferior Ambos Os Lados Parati 1992 À 1997;FTK11003;2;0;A
PARFTK11019;15996974942;Pivô Bandeja Inferior Dianteira Ambos Os Lados Polo 96 À 02;FTK11019;2;0;A
PARFTK-11049/50;15997175940;Pivô Bandeja Inferior Dianteira Esquerda Doblô 2003 À 2017;FTK-11049;1;0;A
PARFTK-11049/50;15997201821;Pivô Bandeja Inferior Dianteira Direita Doblô 2003 À 2017;FTK-11050;1;0;A
PAR-FTK11019;15996974942;Pivô Bandeja Inferior Dianteira Ambos Os Lados Polo 96 À 02;FTK11019;2;0;A
PAR-FTK2004;16167981520;Pivô Bandeja Inferior Fit 2009 A 2013;FTK2004;2;0;A
PAR-PVI2183;15996903711;Pivô Da Bandeja Dianteira Ambos Lados Twingo 1993 A 2006;FTK22183;2;0;A
PARFTK00605;15997521341;Pivô Da Bandeja Dianteira Ambos Lados Oroch 2016 A 2019;FTK-00605;2;0;A
PAR-FTK22104;16008488087;Pivô Da Bandeja Dianteira Ambos Lados Sportage 2010 A 2015;FTK22104;2;0;A
PAR-PVI1047;15996997888;Pivô Bandeja Ambos Lados Corsa Frente Montana 2004 A 2010;FTK11047;2;0;A
PAR-FTK22183;15996903711;Pivô Da Bandeja Dianteira Ambos Lados Twingo 1993 A 2006;FTK22183;2;0;A
PAR-PFTK22183;15996903711;Pivô Da Bandeja Dianteira Ambos Lados Twingo 1993 A 2006;FTK22183;2;0;A
PAR-PVI552012;15991616281;PIVO DA BANDEJA INFERIOR C3 2002 À 2013;Pvi552012;2;0;A
PARFTK11048;16008828941;Pivo Da Bandeja Inferior C3 2002 À 2013;FTK11048;2;0;A
PAR-FTK11045;16237918377;Pivô Inferior Bandeja COROLLA;FTK11045;2;0;A
PARFTK22002/03;15995544416;Pivô Da Bandeja Inferior Lado Direito New Civic 2006 A 2011;ftk22002;1;0;A
PARFTK22002/03;15995545028;Pivô Da Bandeja Inferior Lado Esquerdo New Civic 2006 A 2011;ftk22003;1;0;A
FTK22002/03;15995544416;Pivô Da Bandeja Inferior Lado Direito New Civic 2006 A 2011;ftk22002;1;0;A
FTK22002/03;15995545028;Pivô Da Bandeja Inferior Lado Esquerdo New Civic 2006 A 2011;ftk22003;1;0;A
PAR-FTK00903;16091761919;Pivô Da Bandeja Inferior Peugeot 208 2013 A 2022;FTK00903;2;0;A
PAR-FTK11052/53;15996360856;Pivô Inferior Direita Palio Weekend Adventure 2009 A 2017;FTK11052;1;0;A
PAR-FTK11052/53;15996326134;Pivô Inferior Esquerdo Strada Adventure Locker 2009 A 2017;FTK11053;1;0;A
PARFTK11052/53;15996360856;Pivô Inferior Direita Palio Weekend Adventure 2009 A 2017;FTK11052;1;0;A
PARFTK11052/53;15996360856;Pivô Inferior Direita Palio Weekend Adventure 2009 A 2017;FTK11052;1;0;A
PARFTK222014;16042597468;PIVÔ INFERIOR AMBOS OS LADOS RANGER 4X2 4X4 1998 A 2012;FTK222014;2;0;A
PAR-FTK11056/57;15958548891;Pivô Lado Direito Crossfox 2014 Em Diante;FTK11056;1;0;A
PAR-FTK11056/57;15958643417;Pivô Lado Esquerdo Crossfox 2014 Em Diante;FTK11057;1;0;A
PAR-FTK11110;16259163736;PIVÔ INFERIOR AMBOS LADOS ELANTRA 2009 A 2013;FTK11110;2;0;A
PAR-FTK00131/32;16274481931;PIVÔ INFERIOR ESQUERDO ARGO DRIVE 1.0 1.3 GSR 2018 A 2021;FTK00131;1;0;A
PAR-FTK00131/32;16274482021;PIVÔ INFERIOR DIREITA ARGO DRIVE 1.0 1.3 GSR 2018 A 2021;FTK00132;1;0;A
PAR-FTK77365/66;16240472336;Pivô Inferior Esquerdo AUDI 1999 Até 2006;FTK77365;1;0;A
PAR-FTK77365/66;16240472666;Pivô Inferior Direito AUDI 1999 Até 2006;FTK77366;1;0;A
PAR-FTK00122;16274348370;PIVÔ INFERIOR BANDEJA AMBOS LADOS BRAVO 2011 A 2015;FTK00122;2;0;A
PAR-FTK11026;15996547245;Pivô Inferior Bandeja Dianteira Ambos Os Lados Corsa 98 À 02;FTK11026;2;0;A
