SKU;SEGUIMENTO;Categoria;TIPO;Fornecedor;Descrição / Aplicação;"Código Do 
Fornecedor";" CMV 
Unitário ";"Altura
(cm)";"Comprimento
(cm)";"Largura
(cm)";Peso
FTK18458R;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA TRASEIRA H1 STAREK 2007 A 2013;; R$ -   ;;;;
FTK18505;AUTOMOTIVO;Rolamento roda;SIMPLES;IRB;ROLAMENTO RODA TRASEIRA DODGE DURANGO 2011 A 2017;;;;;;
FTK18583;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA DIANTEIRA CIVIC 1.5 1.6 16V ATÉ 1995;; R$ -   ;;;;
FTK18599;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA TRASEIRA MARCH 2011 EM DIANTE;; R$ -   ;;;;
FTK18627;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA DIANTEIRA AMAROK 2011 EM DIANTE;; R$ -   ;;;;
FTK18630;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA TRASEIRA AMAROK 2010 A 2019 2.0 3.0;; R$ -   ;;;;
FTK18647;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA DIANTEIRA RANGER 4X2 4X4 MARÇO 2012 EM DIANTE;; R$ -   ;;;;
FTK18648;AUTOMOTIVO;Rolamento roda;SIMPLES;IRB;ROLAMENTO RODA TRASEIRA RANGER 4X2 4X4 2012 A 2021;; R$ -   ;;;;
FTK18695;AUTOMOTIVO;Rolamento roda;SIMPLES;IRB;ROLAMENTO RODA DIANTEIRA CITY 1.5 16V 2009 EM DIANTE SEM ABS;; R$ -   ;;;;
FTK18736;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB;ROLAMENTO RODA DIANTEIRA KWID 2018 EM DIANTE;; R$ -   ;;;;
FTK18782;AUTOMOTIVO;CUBO DE RODA;SIMPLES;IRB;CUBO RODA TRASEIRA ABS MAGNETIZADO AUDI A3 2006 EM DIANTE;; R$ -   ;;;;
FTK200116PA;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Jogo De Juntas Superior Do Cabeçote Nxr160 Bros 2015 Diante;; R$ -   ;;;;
FTK200119AE190;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Jogo De Juntas Superior Do Cabeçote Cg150 Fan 2009 Em Diante;; R$ -   ;;;;
FTK200121A;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Kit Junta Superior Do Cabeçote Cg125 Fan 2009 Em Diante;; R$ -   ;;;;
FTK200123A;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Kit Junta Superior Do Cabeçote Bros 150 2006 Diante;; R$ -   ;;;;
FTK200123PA;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Kit Juntas Superior Do Cabeçote Cg150 Titan 2006 Diante;; R$ -   ;;;;
FTK2004;AUTOMOTIVO;;SIMPLES;;;; R$ -   ;;;;
FTK201366A;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Kit Junta Superior Do Cabeçote Xtz 125 2000 A 2008;; R$ -   ;;;;
FTK201366PA;MOTO PEÇAS;Junta moto;SIMPLES;KRATER;Jogo De Juntas Superior Do Cabeçote Ybr125 2000 A 2008;; R$ -   ;;;;
FTK220;AUTOMOTIVO;;SIMPLES;R9BOR;COXIM DE AMORTECEDOR DIANTEIRO FIESTA 1996 A 2001;;;;;;
FTK220/093006;AUTOMOTIVO;KIT AMORTECEDOR COMPLETO;KIT;SPARE / BROKITS;Kit Do Amortecedor Completo Fiesta 1996 A 2001;;;;;;
FTK220/330074/093006;AUTOMOTIVO;KIT AMORTECEDOR;KIT;BROKIT/RE9BOR/SPARE;Amortecedor Mais Kit Completo Fiesta 1996 A 2001;; R$ -   ;;;;
FTK22002;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Da Bandeja Inferior Lado Direito New Civic 2006 A 2011;;  ;;;;
FTK22002/03;AUTOMOTIVO;Pivô;KIT;SPARE;Par Pivô Da Bandeja Inferior New Civic 2006 A 2011;; R$ -   ;;;;
FTK22003;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Da Bandeja Inferior Lado Esquerdo New Civic 2006 A 2011;; R$ 12,50 ;;;;
FTK22104;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Da Bandeja Dianteira Ambos Lados Ix35 2010 A 2017;; R$ 12,50 ;;;;
FTK22182;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Inferior Da Bandeja Ambos Lados Renault R11 1983 A 1997;; R$ -   ;;;;
FTK22183;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Da Bandeja Dianteira Ambos Lados Clio 2003 A 2016;; R$ -   ;;;;
FTK222014;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Inferior Ambos Os Lados Ranger 4x2 4x4 1998 A 2012;;  ;;;;
FTK22204-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Dianteira Da Bandeja Dianteira Focus 2000 A 2009;; R$ -   ;;;;
FTK22208-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Traseira Da Bandeja Dianteira Courier 1996 A 2013;; R$ -   ;;;;
FTK22220-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;BUCHA TRASEIRA DA BANDEJA DIANTEIRA ECOSPORT 2003 A 2012;; R$ -   ;;;;
FTK22222-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA ECOSPORT 2003 A 2012;; R$ -   ;;;;
FTK22286-GP;AUTOMOTIVO;Bucha Bandeja;SIMPLES;GUARU BORRACHAS;Bucha Da Bandeja Superior Dianteira Ranger 2012 Em Diante;;  ;;;;
FTK223;AUTOMOTIVO;COXIM AMORTECEDOR;SIMPLES;R9BOR;COXIM DE AMORTECEDOR TRASEIRO FIESTA 1996 A 2002;; R$ -   ;;;;
FTK223/093007;AUTOMOTIVO;KIT AMORTECEDOR COMPLETO;KIT;;Kit Do Amortecedor Traseiro Completo Fiesta 1996 A 2002;; R$ -   ;;;;
FTK223K;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinetica Lado Roda Astra 1999 Em Diante;; R$ -   ;;;;
FTK22404;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Bandeja Dianteira Ambos Os Lados Toro 2016 A 2020;;  ;;;;
FTK2263-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Dianteira Da Bandeja Dianteira Fiesta 1996 A 2002;; R$ -   ;;;;
FTK232;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Inferior Ambos Lados I30 I Fd 2007 A 2012;; R$ -   ;;;;
FTK233;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CÂMBIO AGILE LS LT LTZ;; R$ -   ;;;;
FTK234;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA CELTA 2001 EM DIANTE;; R$ -   ;;;;
FTK260;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA CORSA 1994 A 2009;; R$ -   ;;;;
FTK276;AUTOMOTIVO;;SIMPLES;;;; R$ -   ;;;;
FTK278;AUTOMOTIVO;;SIMPLES;;;; R$ -   ;;;;
FTK279;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CAMBIO COBALT 1.8 2013 A 2016;;;;;;
FTK281;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinetica Lado Roda Prisma 2013 Em Diante;; R$ -   ;;;;
FTK282;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA FIAT 147 1976 A 1986;;;;;;
FTK284;AUTOMOTIVO;;SIMPLES;;;; R$ -   ;;;;
FTK313;AUTOMOTIVO;;SIMPLES;R9BOR;Coxim do Amortecedor Dianteiro GOL Quadrado 1980 Até 1996;;;;;;
FTK314;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA FIAT 147 1976 A 1986;; R$ -   ;;;;
FTK33005-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;BUCHA BRAÇO TENSOR ESCORT NÃO EXPORTAR;; R$ -   ;;;;
FTK33006-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;BUCHA DO BRAÇO SUPERIOR SUSPENSÃO DIANTEIRA EXPLORER 1996 1997 NÃO EXPORTAR;; R$ -   ;;;;
FTK33028-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Central Da Bandeja Inferior Amarok 2010 Em Diante;; R$ -   ;;;;
FTK33029-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Da Bandeja Superior Dianteira Amarok 2010 Em Diante;; R$ -   ;;;;
FTK3320K;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinética Lado Câmbio Premio 1994 A 1996;; R$ -   ;;;;
FTK3321K;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinética Câmbio Ambos Lados Fiorino 1996 A 2017;; R$ -   ;;;;
FTK3322K;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinética Lado Roda Fiat Tipo 1.6 Todos Os Anos;; R$ -   ;;;;
FTK33305;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Nissan March 2011 Em Diante;; R$ -   ;;;;
FTK33395;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Inferior Dianteira Ambos Lados Ford Ka 2008 A 2014;; R$ -   ;;;;
FTK-33395;AUTOMOTIVO;Pivô;SIMPLES;SPARE;Pivô Inferior Dianteira Ambos Lados Ecosport 2003 A 2013;; R$ -   ;;;;
FTK33396;AUTOMOTIVO;Pivô;SIMPLES;SPARE;PIVÔ INFERIOR AMBOS LADOS FOCUS 1998 A 2008;; R$ -   ;;;;
FTK3385;AUTOMOTIVO;Bucha Barra estabilizadora;SIMPLES;GUARU BORRACHAS;BUCHA DA SUSPENSÃO TRASEIRA PAJERO DAKAR SPORT 2009 A 2016;; R$ -   ;;;;
FTK3395-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Dianteira Da Bandeja Dianteira New Fiesta 2010 Diante;; R$ -   ;;;;
FTK340;AUTOMOTIVO;COXIM AMORTECEDOR;SIMPLES;R9BOR;COXIM AMORTECEDOR DIANTEIRO GOL 1998 EM DIANTE;; R$ -   ;;;;
FTK347;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CAMBIO BRAVA 1999 A 2002;; R$ -   ;;;;
FTK347F;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinetica Cambio Com Flange Palio 1.8 2001 A 2017;; R$ -   ;;;;
FTK360;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CAMBIO BRAVA 2000 A 2003;; R$ -   ;;;;
FTK363;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA DOBLO 2002 EM DIANTE;; R$ -   ;;;;
FTK377;AUTOMOTIVO;Rolamento Roda;SIMPLES;IRB; DIANTEIRO GOL 1994 A 1997;; R$ -   ;;;;
FTK379;AUTOMOTIVO;COXIM AMORTECEDOR;SIMPLES;R9BOR;COXIM AMORTECEDOR DIANTEIRO GOL G5;; R$ -   ;;;;
FTK409;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA KOMBI 1.6 1998 A 2013;; R$ -   ;;;;
FTK411;AUTOMOTIVO;Pastilha Freio;SIMPLES;Replabor;Coifa Homocinetica Lado Roda Gol G1 A G4 1980 A 2008;; R$ -   ;;;;
FTK421;AUTOMOTIVO;;SIMPLES;R9BOR;COXIM DO AMORTECEDOR Corsa e Celta;;;;;;
FTK421/092008;AUTOMOTIVO;KIT AMORTECEDOR COMPLETO;KIT;SPARE / BROKITS;Kit Do Amortecedor Completo Corsa 1994 A 2009;;;;;;
FTK422;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA AMBOS LADOS KOMBI 1978 A 1997;; R$ -   ;;;;
FTK422F;AUTOMOTIVO;Pastilha Freio;SIMPLES;Replabor;COIFA HOMOCINETICA AMBOS LADOS COM FLANGE KOMBI 1978 A 1997;; R$ -   ;;;;
FTK433;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CÂMBIO TEMPRA;; R$ -   ;;;;
FTK433F;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA COM FLANGE LADO CÂMBIO TEMPRA;; R$ -   ;;;;
FTK435;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CÂMBIO ROYALE 1992 A 1995;; R$ -   ;;;;
FTK435F;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinetica Lado Câmbio Com Flange Passat 95 Diante;; R$ -   ;;;;
FTK44002-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;Bucha Ambos Lados Bandeja Dianteira Tipo 1993 A 1997;; R$ -   ;;;;
FTK44003-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;Bucha Esquerda Traseira Bandeja Dianteira Tipo 1993 A 1997;; R$ -   ;;;;
FTK44004-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;BUCHA BRAÇO TENSOR UNO NÃO EXPORTAR;; R$ -   ;;;;
FTK44005-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;BUCHA DA BANDEJA SUSPENSÃO TRASEIRA UNO MILLE 1991 A 2013 NÃO EXPORTAR;; R$ -   ;;;;
FTK44006-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;Bucha Direita Traseira Bandeja Dianteira Tipo 93 A 97;; R$ -   ;;;;
FTK44008-AMW;AUTOMOTIVO;Bucha Bandeja;SIMPLES;AMW;Bucha Central Bandeja Dianteira Dodge Journey 2007 Em Diante;; R$ 7,91 ;;;;
FTK44406-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Traseira Da Bandeja Dianteira Punto 2008 A 2018;; R$ -   ;;;;
FTK44417;AUTOMOTIVO;Pastilha Freio;SIMPLES;GUARU BORRACHAS;BUCHA DA BARRA ESTABILIZADORA SUSPENSÃO DIANTEIRA PUNTO 2008 A 2017;; R$ -   ;;;;
FTK4476-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Dianteira Da Bandeja Dianteira Stilo 2002 A 2010;; R$ -   ;;;;
FTK4477-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Traseira Da Bandeja Dianteira Stilo 2002 A 2010;; R$ -   ;;;;
FTK452;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA CROSSFOX 2004 EM DIANTE;;;;;;
FTK454;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA BORA 2000 EM DIANTE;; R$ -   ;;;;
FTK455;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA GOL 1995 EM DIANTE;; R$ -   ;;;;
FTK464;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CAMBIO UP 2014 A 2021;; R$ -   ;;;;
FTK465;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA UP 2014 A 2021;; R$ -   ;;;;
FTK601;AUTOMOTIVO;COXIM AMORTECEDOR;SIMPLES;R9BOR;COXIM AMORTECEDOR DIANTEIRO FIT;; R$ -   ;;;;
FTK616;AUTOMOTIVO;Coifa Homocinética;SIMPLES;SPARE;Coifa Homocinetica Lado Cambio Peugeot 2008 2016 Em Diante;; R$ -   ;;;;
FTK625;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;Coifa Homocinetica Lado Roda Kicks 1.6 2018 Em Diante;; R$ -   ;;;;
FTK66000-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Dianteira Da Bandeja Dianteira Fit 2009 A 2014;; R$ -   ;;;;
FTK66001-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Traseira Da Bandeja Suspensão Dianteira Fit 2009 A 14;; R$ -   ;;;;
FTK66029-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Dianteira Da Bandeja Dianteira Crv 2007 A 2012;; R$ -   ;;;;
FTK66039-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;Bucha Traseira Da Bandeja Dianteira Crv 2007 A 2012;; R$ -   ;;;;
FTK66075-MB;AUTOMOTIVO;Bucha Bandeja;SIMPLES;MOBENSANI;BUCHA DIANTEIRA DA BANDEJA DIANTEIRA CIVIC 2012 A 2016;; R$ -   ;;;;
FTK717;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO CAMBIO ESQUERDO LOGAN 2007 EM DIANTE;; R$ -   ;;;;
FTK728;AUTOMOTIVO;Pastilha Freio;SIMPLES;Replabor;Coifa Homocinetica Lado Cambio Direito Sandero 2008 Diante;; R$ -   ;;;;
FTK740;AUTOMOTIVO;Coifa Homocinética;SIMPLES;Replabor;COIFA HOMOCINETICA LADO RODA KWID 2017 EM DIANTE;; R$ -   ;;;;
